zipcode,category,sale.dollars,sale.volume
50213,Rum,81071,5748
50213,Vodka,111002,10968
50213,Tequila,35324,2359
50213,Distilled Spirits,4041,188
50213,Gin,11345,1030
50213,Amaretto,2515,232
50213,Schnapps,21115,1815
50049,Vodka,75040,6887
50049,Misc,36050,2168
50049,Whisky,160687,10395
50049,Brandy,7262,583
50049,Rum,48343,3524
50049,Tequila,13575,898
50049,Distilled Spirits,3021,136
50049,Gin,6138,521
50049,Amaretto,1303,99
50049,Schnapps,18500,1473
50801,Misc,81314,4657
50801,Whisky,400481,25886
50801,Rum,115700,8396
50801,Brandy,16488,1418
50801,Tequila,39844,2767
50801,Gin,20680,1884
50801,Vodka,160242,16542
50801,Distilled Spirits,5071,235
50801,Amaretto,7491,792
50801,Schnapps,39779,3302
52802,Misc,37310,2135
52802,Whisky,246695,16316
52802,Gin,43455,3889
52802,Vodka,286314,27139
52802,Rum,85339,6342
52802,Brandy,163141,6951
52802,Tequila,56607,2170
52802,Schnapps,32539,2616
52802,Amaretto,867,105
52802,Distilled Spirits,1664,77
51334,Misc,46289,2826
51334,Whisky,211886,15471
51334,Brandy,10941,769
51334,Rum,113016,8278
51334,Vodka,117535,12985
51334,Tequila,25339,1412
51334,Distilled Spirits,3402,151
51334,Gin,7734,768
51334,Amaretto,2165,247
51334,Schnapps,24879,1933
52641,Misc,99507,5203
52641,Tequila,47377,3100
52641,Whisky,391370,24298
52641,Vodka,232506,21220
52641,Brandy,39222,2340
52641,Schnapps,52435,3928
52641,Rum,132003,9054
52641,Distilled Spirits,8180,354
52641,Gin,24161,2116
52641,Amaretto,2498,293
52531,Misc,26994,1641
52531,Rum,41917,2808
52531,Whisky,127516,8813
52531,Gin,4293,370
52531,Vodka,52790,5097
52531,Brandy,6182,453
52531,Tequila,11043,724
52531,Amaretto,1542,176
52531,Schnapps,14405,1077
52531,Distilled Spirits,1713,84
50321,Vodka,472433,41819
50321,Gin,55345,4033
50321,Misc,151215,7795
50321,Whisky,570834,30671
50321,Brandy,41378,2054
50321,Rum,167412,11987
50321,Schnapps,30538,2153
50321,Tequila,90567,5705
50321,Distilled Spirits,7587,332
50321,Amaretto,3923,309
50701,Misc,209455,12302
50701,Tequila,159109,9148
50701,Whisky,655470,39624
50701,Brandy,227170,10984
50701,Rum,260853,18673
50701,Vodka,568892,47591
50701,Distilled Spirits,15162,1204
50701,Gin,82203,6469
50701,Amaretto,6158,684
50701,Schnapps,92853,6642
51301,Misc,124469,7804
51301,Tequila,57679,3811
51301,Vodka,305752,31635
51301,Whisky,599154,45242
51301,Brandy,35779,2903
51301,Rum,213144,16539
51301,Amaretto,6718,712
51301,Schnapps,52759,3956
51301,Distilled Spirits,16864,1687
51301,Gin,36639,2960
50138,Misc,70690,4259
50138,Whisky,301763,19600
50138,Brandy,17357,1275
50138,Rum,132463,9764
50138,Vodka,171504,16418
50138,Schnapps,32721,2458
50138,Tequila,39944,2455
50138,Distilled Spirits,11202,794
50138,Gin,15323,1243
50138,Amaretto,3663,401
52806,Tequila,98334,6139
52806,Vodka,444049,42079
52806,Misc,141640,8430
52806,Amaretto,6625,608
52806,Whisky,468156,29854
52806,Rum,254653,18320
52806,Distilled Spirits,6517,308
52806,Gin,45408,3924
52806,Brandy,109406,5441
52806,Schnapps,57547,4139
52402,Distilled Spirits,117110,14578
52761,Misc,268681,16099
52761,Whisky,897717,53908
52761,Brandy,63424,4277
52761,Rum,420979,30156
52761,Vodka,588860,56239
52761,Schnapps,132058,10083
52761,Tequila,159933,9703
52761,Distilled Spirits,15473,750
52761,Gin,63699,5220
52761,Amaretto,10617,1093
50616,Misc,82031,4845
50616,Vodka,185119,18694
50616,Tequila,47353,3015
50616,Whisky,330458,23726
50616,Brandy,55284,2897
50616,Rum,137225,9735
50616,Amaretto,5217,631
50616,Distilled Spirits,2872,130
50616,Gin,17048,1506
50616,Schnapps,64939,5131
50112,Misc,83768,4527
50112,Whisky,395240,24638
50112,Gin,31114,2351
50112,Vodka,212289,19623
50112,Rum,127350,9207
50112,Brandy,23705,1710
50112,Tequila,49932,3231
50112,Amaretto,3703,387
50112,Schnapps,33394,2402
50112,Distilled Spirits,4850,238
52353,Rum,160095,11301
52353,Whisky,480771,29987
52353,Gin,25984,1975
52353,Vodka,202383,17454
52353,Misc,112227,6009
52353,Brandy,27811,1759
52353,Tequila,55468,3166
52353,Amaretto,3976,440
52353,Schnapps,61766,4778
52353,Distilled Spirits,7211,673
52627,Misc,99121,5190
52627,Whisky,410538,26416
52627,Vodka,223387,22018
52627,Brandy,42415,2584
52627,Distilled Spirits,4453,210
52627,Gin,19499,1810
52627,Rum,131282,9844
52627,Tequila,53254,2867
52627,Amaretto,2489,250
52627,Schnapps,64939,4898
50511,Misc,87003,5355
50511,Whisky,408881,30645
50511,Vodka,162468,15423
50511,Brandy,23793,1961
50511,Rum,150326,11255
50511,Tequila,40632,2977
50511,Distilled Spirits,7122,608
50511,Gin,15826,1249
50511,Amaretto,4269,486
50511,Schnapps,48546,3812
50131,Misc,107804,6936
50131,Whisky,441035,24496
50131,Rum,159502,11001
50131,Brandy,23027,1455
50131,Vodka,360300,29370
50131,Tequila,67081,4892
50131,Gin,41965,2800
50131,Amaretto,4992,439
50131,Schnapps,25719,1900
50131,Distilled Spirits,4831,214
50022,Tequila,53687,3635
50022,Misc,101436,5471
50022,Whisky,454152,30570
50022,Rum,137736,10158
50022,Vodka,186212,18284
50022,Distilled Spirits,6561,310
50022,Gin,21140,1892
50022,Brandy,12981,1043
50022,Amaretto,2578,262
50022,Schnapps,36294,2876
51401,Misc,153454,8660
51401,Whisky,868195,61692
51401,Brandy,26627,1937
51401,Rum,432194,30582
51401,Vodka,341719,30161
51401,Tequila,74491,4522
51401,Distilled Spirits,27100,3281
51401,Gin,28575,2285
51401,Amaretto,9582,1204
51401,Schnapps,77124,5684
51106,Misc,345379,19033
51106,Amaretto,16679,1391
51106,Whisky,1278518,83304
51106,Rum,477455,33577
51106,Tequila,254542,15934
51106,Vodka,627692,53845
51106,Distilled Spirits,23387,2290
51106,Gin,61359,4109
51106,Brandy,94631,5375
51106,Schnapps,181817,12068
51442,Misc,84709,4868
51442,Tequila,72701,3682
51442,Whisky,460831,33369
51442,Brandy,30536,1929
51442,Vodka,182684,17771
51442,Rum,189255,13606
51442,Schnapps,63509,4781
51442,Distilled Spirits,11069,1272
51442,Gin,17735,1528
51442,Amaretto,4893,502
51012,Misc,57580,3829
51012,Tequila,26964,1510
51012,Whisky,290255,21623
51012,Brandy,19053,1505
51012,Rum,100444,6985
51012,Distilled Spirits,7517,798
51012,Gin,17069,1433
51012,Vodka,112432,11275
51012,Amaretto,1817,229
51012,Schnapps,35763,2536
52241,Misc,502356,26859
52241,Whisky,1812350,84017
52241,Brandy,180339,7515
52241,Rum,543617,37057
52241,Vodka,1290453,92663
52241,Schnapps,149585,9936
52241,Tequila,419865,23814
52241,Gin,213464,12520
52241,Amaretto,22690,1480
52241,Distilled Spirits,11553,543
52577,Misc,104526,6300
52577,Vodka,265644,25400
52577,Whisky,452791,27758
52577,Distilled Spirits,13900,1267
52577,Gin,24035,1985
52577,Rum,162188,11737
52577,Brandy,35986,2497
52577,Tequila,59290,3939
52577,Amaretto,7385,783
52577,Schnapps,59708,4697
52556,Gin,21218,1556
52556,Misc,71499,4118
52556,Whisky,307302,17641
52556,Rum,125181,9091
52556,Brandy,17039,1102
52556,Vodka,178949,16470
52556,Schnapps,31685,2481
52556,Tequila,45192,2406
52556,Distilled Spirits,5203,234
52556,Amaretto,3710,360
50595,Misc,56268,3967
50595,Whisky,276170,20520
50595,Brandy,29862,1745
50595,Rum,93975,6889
50595,Vodka,143920,15565
50595,Schnapps,28597,2194
50595,Tequila,38052,2577
50595,Distilled Spirits,3115,164
50595,Gin,12540,1153
50595,Amaretto,2129,238
52722,Misc,552423,29876
52722,Whisky,1550919,76875
52722,Tequila,433878,22050
52722,Vodka,1304133,99918
52722,Rum,588841,41913
52722,Brandy,69176,4090
52722,Schnapps,290953,19110
52722,Distilled Spirits,9208,437
52722,Gin,184589,12104
52722,Amaretto,22200,2181
51031,Misc,119371,6620
51031,Whisky,519089,35579
51031,Brandy,30911,2628
51031,Rum,218329,15011
51031,Vodka,226007,19487
51031,Tequila,74429,5181
51031,Distilled Spirits,5500,286
51031,Gin,24907,1891
51031,Amaretto,4279,411
51031,Schnapps,74943,5811
50548,Misc,52570,3473
50548,Tequila,27405,1941
50548,Whisky,249570,18585
50548,Brandy,12867,1149
50548,Rum,98193,7061
50548,Gin,7677,706
50548,Vodka,110381,11300
50548,Distilled Spirits,2495,115
50548,Amaretto,3261,367
50548,Schnapps,27552,1864
50220,Vodka,124721,13042
50220,Gin,9682,859
50220,Brandy,13233,1059
50220,Tequila,35876,2041
50220,Amaretto,1431,128
50220,Distilled Spirits,3238,160
51501,Misc,568301,30934
51501,Whisky,1896895,105167
51501,Vodka,1061322,92050
51501,Rum,686544,48053
51501,Brandy,139019,7263
51501,Schnapps,275186,18064
51501,Tequila,360272,18706
51501,Distilled Spirits,43550,4757
51501,Gin,115294,7845
51501,Amaretto,28638,2685
52807,Misc,581539,33319
52807,Vodka,1420025,114653
52807,Brandy,185469,9271
52807,Whisky,1889138,101959
52807,Amaretto,34539,3147
52807,Tequila,457964,28907
52807,Rum,670079,47869
52807,Schnapps,217854,15078
52807,Distilled Spirits,32483,2897
52807,Gin,207928,14720
52732,Misc,277511,18361
52732,Whisky,693546,41960
52732,Vodka,586745,53848
52732,Brandy,122371,6421
52732,Rum,415866,31085
52732,Tequila,201511,13107
52732,Distilled Spirits,10297,617
52732,Gin,56447,4918
52732,Amaretto,14577,1649
52732,Schnapps,222961,15637
50266,Vodka,1649607,116971
50266,Misc,566588,28157
50266,Tequila,333131,20476
50266,Whisky,2282625,104254
50266,Rum,625678,42205
50266,Schnapps,64412,4326
50266,Brandy,98135,4719
50266,Distilled Spirits,10819,480
50266,Gin,271966,14686
50266,Amaretto,27142,1552
50311,Whisky,2129694,123596
50311,Misc,555746,32665
50311,Rum,635536,47200
50311,Tequila,451129,28574
50311,Distilled Spirits,63339,7847
50311,Gin,211436,15157
50311,Vodka,1393994,123768
50311,Brandy,219292,11180
50311,Amaretto,26203,2269
50311,Schnapps,162767,11698
51105,Misc,85496,5005
51105,Vodka,211189,20142
51105,Whisky,332554,21908
51105,Brandy,40479,2580
51105,Rum,138078,10103
51105,Schnapps,69660,4849
51105,Tequila,66844,3312
51105,Distilled Spirits,3392,159
51105,Gin,23881,1872
51105,Amaretto,2787,272
51104,Vodka,267500,21812
51104,Misc,120509,7490
51104,Whisky,388254,22133
51104,Brandy,39572,2387
51104,Rum,174142,12741
51104,Tequila,92664,5534
51104,Gin,38896,2714
51104,Distilled Spirits,4060,332
51104,Amaretto,4911,412
51104,Schnapps,60533,3918
52002,Vodka,380225,33069
52002,Misc,182442,10709
52002,Amaretto,9142,862
52002,Tequila,67090,4700
52002,Whisky,585003,37002
52002,Rum,235892,16790
52002,Brandy,54535,3255
52002,Schnapps,66582,4850
52002,Distilled Spirits,14800,1753
52002,Gin,45197,3631
52804,Whisky,1203304,66327
52804,Vodka,978624,82249
52804,Misc,354340,19883
52804,Tequila,405480,21632
52804,Brandy,304888,12995
52804,Rum,483640,35363
52804,Amaretto,13660,1504
52804,Schnapps,263035,18877
52804,Distilled Spirits,28783,2806
52804,Gin,110267,8760
50310,Misc,92482,6104
50310,Brandy,235500,11177
50310,Vodka,653191,54461
50310,Amaretto,4811,394
50310,Whisky,547775,35019
50310,Rum,201231,15000
50310,Schnapps,31294,2207
50310,Tequila,103726,6109
50310,Distilled Spirits,7062,398
50310,Gin,79184,6666
50627,Misc,12857,836
50627,Whisky,108891,8188
50627,Gin,6638,602
50627,Vodka,63218,7421
50627,Rum,32957,2353
50627,Brandy,6333,571
50627,Tequila,5730,417
50627,Amaretto,1200,146
50627,Schnapps,8022,646
50627,Distilled Spirits,397,33
51503,Misc,392538,23830
51503,Whisky,1196722,69509
51503,Vodka,764593,69941
51503,Brandy,58836,3811
51503,Rum,531769,38580
51503,Amaretto,17079,1596
51503,Schnapps,178852,11999
51503,Tequila,298704,16693
51503,Distilled Spirits,19291,1214
51503,Gin,84779,6747
50320,Vodka,2264991,156219
50320,Whisky,2886165,142765
50320,Misc,999433,52762
50320,Brandy,218665,8334
50320,Rum,1091342,77700
50320,Tequila,1172107,65671
50320,Distilled Spirits,28808,2649
50320,Gin,291539,19396
50320,Amaretto,32765,3279
50320,Schnapps,553304,39494
50014,Tequila,21752,1176
50014,Whisky,164178,9850
50014,Gin,10825,1013
50014,Vodka,121142,10447
50014,Misc,43093,2369
50014,Rum,96367,7940
50014,Brandy,11068,419
50014,Amaretto,2471,324
50014,Schnapps,29681,2387
50014,Distilled Spirits,1245,69
50219,Misc,86536,5220
50219,Whisky,318265,18538
50219,Vodka,182107,15479
50219,Rum,134545,9687
50219,Brandy,15744,1010
