city,category,sale.dollars,sale.volume
Mason City,Rum,501497,37735
Mason City,Schnapps,156740,11883
Mason City,Brandy,127233,8179
Mason City,Tequila,273156,18353
Mason City,Distilled Spirits,15671,788
Mason City,Gin,86816,6514
Mason City,Amaretto,16341,1640
Newton,Misc,136062,8109
Newton,Whisky,548472,36278
Newton,Brandy,42500,2313
Newton,Rum,206826,16142
Newton,Tequila,87679,6113
Newton,Distilled Spirits,18640,1252
Newton,Gin,30571,2620
Newton,Vodka,321317,31661
Newton,Amaretto,8193,1029
Newton,Schnapps,50078,4048
Red Oak,Gin,15556,1325
Red Oak,Misc,58004,3413
Red Oak,Whisky,255712,16798
Red Oak,Rum,65852,4793
Red Oak,Vodka,109222,11057
Red Oak,Tequila,27694,1674
Red Oak,Schnapps,26272,2376
Red Oak,Distilled Spirits,5795,293
Red Oak,Brandy,12379,1074
Red Oak,Amaretto,1411,136
West Des Moines,Misc,904535,47866
West Des Moines,Vodka,2853348,213958
West Des Moines,Whisky,3635339,175032
West Des Moines,Brandy,189144,9466
West Des Moines,Rum,1060232,72886
West Des Moines,Schnapps,160106,10847
West Des Moines,Tequila,555795,34518
West Des Moines,Gin,415944,24764
West Des Moines,Distilled Spirits,26892,1237
West Des Moines,Amaretto,37594,2374
Centerville,Misc,67209,3744
Centerville,Amaretto,5024,484
Centerville,Whisky,287462,18187
Centerville,Vodka,149882,14820
Centerville,Rum,97166,7131
Centerville,Brandy,11114,873
Centerville,Schnapps,43034,3561
Centerville,Tequila,33634,2518
Centerville,Distilled Spirits,3923,183
Centerville,Gin,12083,1062
Urbandale,Misc,267330,14772
Urbandale,Tequila,157826,10381
Urbandale,Whisky,1076586,54879
Urbandale,Gin,86996,6080
Urbandale,Vodka,846267,67662
Urbandale,Rum,361098,24406
Urbandale,Brandy,80569,3784
Urbandale,Amaretto,9500,637
Urbandale,Schnapps,54510,3680
Urbandale,Distilled Spirits,11975,562
Fort Dodge,Misc,311091,18612
Fort Dodge,Whisky,1075279,72010
Fort Dodge,Gin,77120,6247
Fort Dodge,Vodka,765717,69201
Fort Dodge,Rum,497065,35139
Fort Dodge,Brandy,154123,8374
Fort Dodge,Tequila,198734,12193
Fort Dodge,Amaretto,15405,1559
Fort Dodge,Schnapps,146531,10138
Fort Dodge,Distilled Spirits,15290,796
Iowa Falls,Misc,76471,4412
Iowa Falls,Whisky,339825,21813
Iowa Falls,Rum,121944,8518
Iowa Falls,Brandy,14774,950
Iowa Falls,Vodka,159634,15225
Iowa Falls,Schnapps,37908,2750
Iowa Falls,Tequila,45272,3047
Iowa Falls,Distilled Spirits,7836,664
Iowa Falls,Gin,18153,1321
Iowa Falls,Amaretto,4323,439
Ottumwa,Misc,211174,11957
Ottumwa,Whisky,884936,53345
Ottumwa,Tequila,157846,9062
Ottumwa,Rum,347570,23903
Ottumwa,Brandy,66388,3810
Ottumwa,Vodka,466458,44531
Ottumwa,Schnapps,153587,11431
Ottumwa,Distilled Spirits,21288,1927
Ottumwa,Gin,48704,3898
Ottumwa,Amaretto,8441,802
Marshalltown,Vodka,573493,53077
Marshalltown,Misc,248326,15064
Marshalltown,Amaretto,9047,913
Marshalltown,Whisky,1034709,63752
Marshalltown,Brandy,136363,6713
Marshalltown,Rum,337545,24477
Marshalltown,Schnapps,104914,8199
Marshalltown,Tequila,190658,8956
Marshalltown,Distilled Spirits,20345,1933
Marshalltown,Gin,73943,5965
Altoona,Distilled Spirits,11623,501
Osceola,Misc,44648,2702
Osceola,Whisky,241498,15847
Osceola,Brandy,11937,835
Osceola,Rum,81071,5748
Osceola,Vodka,111002,10968
Osceola,Tequila,35324,2359
Osceola,Distilled Spirits,4041,188
Osceola,Gin,11345,1030
Osceola,Amaretto,2515,232
Osceola,Schnapps,21115,1815
Chariton,Vodka,75040,6887
Chariton,Misc,36050,2168
Chariton,Whisky,160687,10395
Chariton,Brandy,7262,583
Chariton,Rum,48343,3524
Chariton,Tequila,13575,898
Chariton,Distilled Spirits,3021,136
Chariton,Gin,6138,521
Chariton,Amaretto,1303,99
Chariton,Schnapps,18500,1473
Creston,Misc,81314,4657
Creston,Whisky,400481,25886
Creston,Rum,115700,8396
Creston,Brandy,16488,1418
Creston,Tequila,39844,2767
Creston,Gin,20680,1884
Creston,Vodka,160242,16542
Creston,Distilled Spirits,5071,235
Creston,Amaretto,7491,792
Creston,Schnapps,39779,3302
Davenport,Misc,1134471,64680
Davenport,Whisky,3986840,224943
Davenport,Gin,445525,34343
Davenport,Vodka,3402719,286791
Davenport,Rum,1549406,111628
Davenport,Brandy,944093,41487
Davenport,Tequila,1083070,60932
Davenport,Schnapps,579679,41212
Davenport,Amaretto,55881,5380
Davenport,Distilled Spirits,70042,6111
Estherville,Misc,46289,2826
Estherville,Whisky,211886,15471
Estherville,Brandy,10941,769
Estherville,Rum,113016,8278
Estherville,Vodka,117535,12985
Estherville,Tequila,25339,1412
Estherville,Distilled Spirits,3402,151
Estherville,Gin,7734,768
Estherville,Amaretto,2165,247
Estherville,Schnapps,24879,1933
Mount Pleasant,Misc,99507,5203
Mount Pleasant,Tequila,47377,3100
Mount Pleasant,Whisky,391370,24298
Mount Pleasant,Vodka,232506,21220
Mount Pleasant,Brandy,39222,2340
Mount Pleasant,Schnapps,52435,3928
Mount Pleasant,Rum,132003,9054
Mount Pleasant,Distilled Spirits,8180,354
Mount Pleasant,Gin,24161,2116
Mount Pleasant,Amaretto,2498,293
Albia,Misc,26994,1641
Albia,Rum,41917,2808
Albia,Whisky,127516,8813
Albia,Gin,4293,370
Albia,Vodka,52790,5097
Albia,Brandy,6182,453
Albia,Tequila,11043,724
Albia,Amaretto,1542,176
Albia,Schnapps,14405,1077
Albia,Distilled Spirits,1713,84
Spencer,Misc,124469,7804
Spencer,Tequila,57679,3811
Spencer,Vodka,305752,31635
Spencer,Whisky,599154,45242
Spencer,Brandy,35779,2903
Spencer,Rum,213144,16539
Spencer,Amaretto,6718,712
Spencer,Schnapps,52759,3956
Spencer,Distilled Spirits,16864,1687
Spencer,Gin,36639,2960
Knoxville,Misc,70690,4259
Knoxville,Whisky,301763,19600
Knoxville,Brandy,17357,1275
Knoxville,Rum,132463,9764
Knoxville,Vodka,171504,16418
Knoxville,Schnapps,32721,2458
Knoxville,Tequila,39944,2455
Knoxville,Distilled Spirits,11202,794
Knoxville,Gin,15323,1243
Knoxville,Amaretto,3663,401
Muscatine,Misc,268681,16099
Muscatine,Whisky,897717,53908
Muscatine,Brandy,63424,4277
Muscatine,Rum,420979,30156
Muscatine,Vodka,588860,56239
Muscatine,Schnapps,132058,10083
Muscatine,Tequila,159933,9703
Muscatine,Distilled Spirits,15473,750
Muscatine,Gin,63699,5220
Muscatine,Amaretto,10617,1093
Charles City,Misc,82031,4845
Charles City,Vodka,185119,18694
Charles City,Tequila,47353,3015
Charles City,Whisky,330458,23726
Charles City,Brandy,55284,2897
Charles City,Rum,137225,9735
Charles City,Amaretto,5217,631
Charles City,Distilled Spirits,2872,130
Charles City,Gin,17048,1506
Charles City,Schnapps,64939,5131
Grinnell,Misc,83768,4527
Grinnell,Whisky,395240,24638
Grinnell,Gin,31114,2351
Grinnell,Vodka,212289,19623
Grinnell,Rum,127350,9207
Grinnell,Brandy,23705,1710
Grinnell,Tequila,49932,3231
Grinnell,Amaretto,3703,387
Grinnell,Schnapps,33394,2402
Grinnell,Distilled Spirits,4850,238
Washington,Rum,160095,11301
Washington,Whisky,480771,29987
Washington,Gin,25984,1975
Washington,Vodka,202383,17454
Washington,Misc,112227,6009
Washington,Brandy,27811,1759
Washington,Tequila,55468,3166
Washington,Amaretto,3976,440
Washington,Schnapps,61766,4778
Washington,Distilled Spirits,7211,673
Fort Madison,Misc,99121,5190
Fort Madison,Whisky,410538,26416
Fort Madison,Vodka,223387,22018
Fort Madison,Brandy,42415,2584
Fort Madison,Distilled Spirits,4453,210
Fort Madison,Gin,19499,1810
Fort Madison,Rum,131282,9844
Fort Madison,Tequila,53254,2867
Fort Madison,Amaretto,2489,250
Fort Madison,Schnapps,64939,4898
Algona,Misc,87003,5355
Algona,Whisky,408881,30645
Algona,Vodka,162468,15423
Algona,Brandy,23793,1961
Algona,Rum,150326,11255
Algona,Tequila,40632,2977
Algona,Distilled Spirits,7122,608
Algona,Gin,15826,1249
Algona,Amaretto,4269,486
Algona,Schnapps,48546,3812
Johnston,Misc,107804,6936
Johnston,Whisky,441035,24496
Johnston,Rum,159502,11001
Johnston,Brandy,23027,1455
Johnston,Vodka,360300,29370
Johnston,Tequila,67081,4892
Johnston,Gin,41965,2800
Johnston,Amaretto,4992,439
Johnston,Schnapps,25719,1900
Johnston,Distilled Spirits,4831,214
Atlantic,Tequila,53687,3635
Atlantic,Misc,101436,5471
Atlantic,Whisky,454152,30570
Atlantic,Rum,137736,10158
Atlantic,Vodka,186212,18284
Atlantic,Distilled Spirits,6561,310
Atlantic,Gin,21140,1892
Atlantic,Brandy,12981,1043
Atlantic,Amaretto,2578,262
Atlantic,Schnapps,36294,2876
Carroll,Misc,153454,8660
Carroll,Whisky,868195,61692
