city,high.school,bachelor,unemployment,income,population,pop.white,pop.black,pop.indian,pop.asian,pop.hawai,pop.other,pop.multi
Rhodes,96.3,11.1,9.9,28125,257,247,2,0,0,0,6,2
Riceville,92.5,14.3,10.5,30263,834,792,0,0,0,0,0,42
Richland,93.3,16.4,2.7,31875,651,651,0,0,0,0,0,0
Rickardsville,92.3,17.1,3.5,30750,163,163,0,0,0,0,0,0
Ricketts,89.3,5.3,12.8,23125,124,121,0,0,0,3,0,0
Ridgeway,95,11.4,3.8,27917,285,274,0,0,6,0,0,5
Rinard,89.5,26.3,0,31250,54,52,0,0,0,0,0,2
Ringsted,95.9,12.6,8.9,30962,479,473,0,0,0,0,0,6
Rippey,84.4,6.4,4.4,23125,207,203,2,0,0,0,0,2
Riverdale,95.2,29.2,4.1,36023,481,471,2,4,0,0,0,4
Riverside,94.1,17.3,4,30821,1054,1036,3,0,0,0,0,15
River Sioux,59.2,0,0,,82,82,0,0,0,0,0,0
Riverton,90.7,7.1,2.2,35417,260,260,0,0,0,0,0,0
Robins,98.2,52.9,2.6,50770,3434,3151,73,0,184,0,4,22
Rochester,100,0,0,,36,36,0,0,0,0,0,0
Rock Falls,97.3,10,0,27188,150,146,0,0,3,0,1,0
Rockford,93.4,21.5,6.8,31140,760,749,7,0,0,0,4,0
Rock Rapids,90.8,28,1.8,32421,2569,2562,4,0,2,0,1,0
Rock Valley,89,19.8,3.6,26688,3623,3553,21,0,13,0,23,13
Rockwell,92.5,11.8,3.1,33281,1100,1062,32,0,0,0,0,6
Rockwell City,91.3,13,1.6,16436,2212,2031,103,19,9,0,7,43
Rodman,97.1,5.7,0,23750,39,39,0,0,0,0,0,0
Rodney,62.5,2.1,0,,58,53,0,0,0,0,1,4
Roland,98,38.3,0.7,44612,1312,1281,0,4,0,0,0,27
Rolfe,82.4,15.2,3.5,26094,572,535,0,0,0,0,30,7
Rome,78.6,6.1,3.8,28281,164,156,8,0,0,0,0,0
Rose Hill,74.2,12.5,2.5,28000,160,150,0,0,0,0,0,10
Roseville,,,,,0,0,0,0,0,0,0,0
Rossie,100,14.3,5.9,40000,50,50,0,0,0,0,0,0
Rowan,91,10.1,14,28750,143,141,0,0,0,0,1,1
Rowley,96.9,9.9,2,31786,285,283,2,0,0,0,0,0
Royal,92.8,13.7,7.2,30400,415,396,0,1,0,7,0,11
Rudd,92.2,10.8,8.8,27011,366,350,7,0,0,0,0,9
Runnells,97.5,10.1,4.5,40231,514,499,5,1,1,0,0,8
Russell,90.1,10.9,9.3,22174,516,489,0,27,0,0,0,0
Ruthven,90.6,17.7,2.7,27266,730,709,0,0,6,0,0,15
Rutland,93.8,2.5,2.2,32083,111,109,0,0,0,0,0,2
Ryan,90.5,14.5,1.5,35455,364,360,0,0,0,0,0,4
Sabula,96.2,6.7,3.2,27228,448,447,1,0,0,0,0,0
Sac City,92.7,18.9,5.4,26389,2185,2111,6,0,0,0,2,66
Sageville,93.8,14.1,2.3,,71,69,0,2,0,0,0,0
St. Ansgar,93.9,22.4,1.2,32270,1087,1068,0,0,19,0,0,0
St. Anthony,92.1,7.9,8.2,28125,115,101,3,0,0,0,0,11
St. Benedict,100,20,0,,14,14,0,0,0,0,0,0
St. Charles,96.2,20.3,0.7,37386,765,741,20,0,3,0,0,1
St. Donatus,95.5,10.8,0,24917,139,138,0,0,0,0,0,1
St. Joseph,100,11.1,0,20208,121,121,0,0,0,0,0,0
St. Lucas,85.2,23.4,13.7,26563,163,163,0,0,0,0,0,0
St. Marys,98.8,28,0,36250,210,210,0,0,0,0,0,0
St. Olaf,93.3,12,0,24688,138,136,0,0,2,0,0,0
St. Paul,95.9,14.9,0,29250,100,100,0,0,0,0,0,0
Salem,86.8,6.8,13.5,30893,551,531,0,0,5,0,0,15
Salix,95.2,16.2,1.8,27216,402,401,0,0,1,0,0,0
Sanborn,89.5,16.1,3.8,30848,1405,1354,0,0,0,0,33,18
Sandyville,84.8,28.3,17.5,30139,74,65,0,0,0,0,0,9
Saylorville,97,26.5,10.9,27674,3445,3445,0,0,0,0,0,0
Scarville,92,18,0,26000,66,65,0,0,0,1,0,0
Schaller,85.8,16.9,3.9,26641,795,744,0,0,0,4,40,7
Schleswig,92,11,7.3,29750,806,730,1,10,16,0,4,45
Scranton,90.4,9.8,14.4,22950,565,565,0,0,0,0,0,0
Searsboro,86.1,12,12.4,15781,184,169,0,2,0,0,0,13
Sergeant Bluff,94.1,40.8,1.5,33036,4399,4019,2,10,130,0,0,238
Sexton,100,31.8,0,,38,38,0,0,0,0,0,0
Seymour,84.4,10.1,7.8,24702,656,637,12,0,0,0,0,7
Shambaugh,92.5,5.2,12.8,25938,196,195,0,0,0,0,0,1
Shannon City,97.7,9.1,0,28542,54,54,0,0,0,0,0,0
Sharpsburg,98.6,4.2,3.4,27361,113,112,0,0,0,0,0,1
Sheffield,91.8,17.5,5.7,31210,1283,1265,0,0,4,0,4,10
Shelby,93.3,13.8,3.7,28654,654,648,0,0,4,0,0,2
Sheldahl,93.8,19.1,4.7,31750,249,243,3,0,0,0,0,3
Sheldon,92.5,27.6,2.8,27467,5015,4633,21,0,77,0,222,62
Shell Rock,94.4,13.8,4.4,26549,1254,1246,0,0,0,0,0,8
Shellsburg,95.5,14.6,1.8,35912,1097,1082,15,0,0,0,0,0
Shenandoah,83.3,22.1,2.2,29452,5030,4694,73,17,141,0,10,95
Sherrill,87.1,7.7,1.4,31136,219,219,0,0,0,0,0,0
Shueyville,97.3,46.9,1.6,56875,570,471,0,0,77,0,0,22
Sibley,84.6,20.3,3,26414,2667,2493,6,0,21,0,111,36
Sidney,88.2,15.7,4.7,26210,995,891,6,3,0,0,83,12
Sigourney,91.8,21.2,5.1,31995,2105,1984,1,7,34,7,29,43
Silver City,82.5,19.9,10,41563,224,218,0,0,1,0,5,0
Sioux Center,87.4,36.5,0.4,23226,7370,6662,41,29,59,0,509,70
Sioux City,83.8,20.9,5.5,26599,82666,69363,3119,1373,2612,133,3370,2696
Sioux Rapids,91.4,15.7,2,30129,729,721,2,0,0,0,2,4
Slater,98.4,39.1,1,38707,1617,1603,0,7,0,0,0,7
Sloan,96,25.3,3.2,31449,1192,1104,0,77,0,0,0,11
Smithland,93.8,7,2.1,20769,185,184,0,0,1,0,0,0
Soldier,93.1,16.2,10.3,25865,187,170,0,0,0,0,11,6
Solon,98,43.8,3.5,40275,2399,2278,0,0,0,0,65,56
Somers,95.3,10.6,9.5,30750,139,121,0,0,2,0,2,14
South Amana,100,6.7,32.7,14457,105,105,0,0,0,0,0,0
South English,89.4,12.7,10.6,27000,299,274,0,0,0,0,2,23
Spencer,93.4,21.5,3.6,30011,11172,10617,47,4,0,0,192,312
Spillville,81.4,17.6,3.3,28750,433,432,0,1,0,0,0,0
Spirit Lake,95.5,29.2,2.9,31108,4992,4831,14,16,22,0,12,97
Spragueville,75.4,5.3,6.7,23000,107,107,0,0,0,0,0,0
Springbrook,94.6,7.6,0,32500,137,133,1,0,0,0,0,3
Spring Hill,80.6,13.9,0,38750,60,52,0,0,0,0,0,8
Springville,94.9,16.1,6.5,35781,1070,1070,0,0,0,0,0,0
Stacyville,85.1,6.1,1.3,25875,503,498,0,0,0,0,0,5
Stanhope,91.6,16.8,5.7,32292,406,386,0,0,2,0,0,18
Stanley,91.3,11.6,5.4,32500,114,99,0,8,0,0,0,7
Stanton,91.7,20,3.1,34236,685,681,0,0,0,0,0,4
Stanwood,89.9,15.1,3.3,28611,562,554,0,1,3,0,0,4
State Center,93.2,19.3,3.8,31375,1337,1271,0,4,4,0,58,0
Steamboat Rock,96.6,11.6,3.8,35357,312,312,0,0,0,0,0,0
Stockport,91.3,8.1,4.3,19286,250,244,0,0,0,0,0,6
Stockton,92.6,7.4,7.6,25000,235,211,0,24,0,0,0,0
Stone City,88.2,11.8,0,40833,288,288,0,0,0,0,0,0
Storm Lake,65.6,15.4,5.8,21889,10768,7195,544,0,1638,223,962,206
Story City,91.5,29.3,3.1,32119,3423,3128,51,75,13,0,11,145
Stout,91.2,20.2,5.6,35000,162,162,0,0,0,0,0,0
Stratford,89.7,14.7,6.8,31250,645,641,0,0,4,0,0,0
Strawberry Point,90.8,11.1,4.6,31389,1357,1353,2,0,0,0,0,2
Struble,95.7,4.3,9.2,27250,111,111,0,0,0,0,0,0
Stuart,91.7,15.6,3.8,27108,1528,1521,2,0,0,0,0,5
Sully,93.9,15.3,1.9,30071,843,781,22,0,0,0,0,40
Sumner,94.7,20.3,4.4,30045,2205,2178,0,17,0,0,0,10
Sun Valley Lake,100,40.3,5,70250,224,224,0,0,0,0,0,0
Superior,87.6,3.1,4.2,27361,168,165,0,1,0,0,0,2
Sutherland,92.6,12,2.6,27000,595,586,4,0,0,3,0,2
Swaledale,96.1,3.1,11.2,23472,181,146,0,0,0,0,0,35
Swan,90.2,7.3,3.6,23125,69,68,0,0,0,0,1,0
Swea City,88.2,14.9,1,24844,559,511,0,19,0,0,16,13
Swisher,99,38,2,46174,846,825,0,4,4,0,0,13
Tabor,88.3,20.1,2.5,33242,1230,1206,11,6,3,0,0,4
Tama,84.1,13.2,6.1,28690,2832,2397,14,143,23,0,129,126
Templeton,87.7,13.8,3.6,29821,384,383,1,0,0,0,0,0
Tennant,91.1,17.9,0,26071,73,73,0,0,0,0,0,0
Terril,87.2,20.7,5,25917,379,366,2,4,1,0,0,6
Thayer,94.9,5.1,5.6,30625,60,60,0,0,0,0,0,0
Thompson,84.7,6.9,3.7,25750,466,448,0,0,9,0,6,3
Thor,90,10,1.2,28214,183,174,0,0,0,0,0,9
Thornburg,91.5,14.9,2.3,31250,75,75,0,0,0,0,0,0
Thornton,92.7,16.8,5,27188,482,466,5,0,1,0,3,7
Thurman,85,8.3,0,34464,191,191,0,0,0,0,0,0
Tiffin,96.7,30.5,1.5,41580,2530,2221,43,0,31,0,129,106
Tingley,98.4,10.3,11.5,30625,177,167,0,6,0,0,0,4
Tipton,91.9,15.2,6.8,31250,3201,3065,35,5,96,0,0,0
Titonka,90,11.9,5.1,25288,500,495,0,0,0,0,0,5
Toeterville,100,45.2,0,31250,36,36,0,0,0,0,0,0
Toledo,81,11.4,6.6,26973,2258,2136,26,22,6,6,31,31
Toronto,88.6,0,0,22361,120,118,0,0,0,0,0,2
Traer,92.2,20.2,5,31740,1736,1705,0,0,6,3,3,19
Treynor,98.2,35.9,0.4,37500,957,952,0,0,0,0,0,5
Tripoli,87.3,12.1,2.1,30732,1316,1270,0,0,0,39,0,7
Truesdale,80,2.1,5,21304,125,125,0,0,0,0,0,0
Truro,92.2,9.4,6.7,26875,456,425,15,2,0,0,3,11
Turin,91.1,17.9,0,28750,80,74,0,0,0,0,0,6
Twin Lakes,100,49.5,0,61071,186,186,0,0,0,0,0,0
Udell,90.9,9.1,0,35000,37,37,0,0,0,0,0,0
Underwood,96.6,32.7,1.4,41700,808,792,0,0,0,0,0,16
Union,92.6,15.7,5.2,29063,487,437,0,2,3,0,12,33
Unionville,94.4,7,9.1,40417,78,76,0,0,0,0,0,2
University Heights,100,81.4,3.2,27432,1255,1067,70,0,33,0,0,85
University Park,89.6,18.6,6.6,23750,558,454,44,3,0,0,15,42
Urbana,93.6,22.4,2,44048,1444,1408,30,2,0,0,0,4
Urbandale,96.6,49.5,4,45947,41578,37296,1574,20,1436,107,175,970
Ute,84.7,8,6.7,29688,382,380,0,0,0,0,0,2
Vail,81,5.2,4.2,32500,478,439,2,0,2,0,32,3
Valeria,93.8,12.5,12.5,10833,46,45,0,0,1,0,0,0
Van Horne,95.5,20.1,5.3,31731,782,700,0,2,5,0,19,56
Van Meter,96.1,32.7,1.4,36771,1256,1247,0,0,2,0,0,7
Van Wert,72,7,2,23438,190,184,0,3,0,0,0,3
Varina,76.4,9.1,0,18750,96,96,0,0,0,0,0,0
Ventura,98.6,31.7,2.2,35223,737,732,0,0,5,0,0,0
Victor,91.8,12.3,3.4,30881,1026,1021,2,3,0,0,0,0
Villisca,88.9,10.8,7.3,23516,1255,1207,0,24,0,0,15,9
Vincent,84.6,13.5,0,32321,130,117,0,0,0,0,13,0
Vining,94.9,11.9,0,34167,73,73,0,0,0,0,0,0
Vinton,94.5,27.5,2.9,30503,5166,5119,25,0,21,0,0,1
Volga,91.9,15.4,9.4,22969,194,194,0,0,0,0,0,0
Wadena,90.9,13.7,10.5,27500,279,272,0,0,2,0,0,5
Wahpeton,97,41.8,2.6,32188,394,356,0,0,0,0,36,2
Walcott,92.3,24.2,4.8,31653,1450,1421,9,0,16,0,0,4
Walford,98.6,33.5,2.3,48152,1428,1393,5,0,6,0,15,9
Walker,93.1,10.9,2.5,35742,841,841,0,0,0,0,0,0
Wallingford,91.6,9.1,2.6,26346,180,167,1,0,0,0,11,1
Wall Lake,90.5,15.8,3.1,30809,777,777,0,0,0,0,0,0
Walnut,91.4,15.3,5,27067,706,687,0,0,6,0,2,11
Wapello,87.7,12.3,5.6,28368,1922,1868,8,0,4,0,36,6
Washburn,89.9,15,11.7,27778,888,888,0,0,0,0,0,0
Washington,91.5,17.8,6.7,23673,7368,6841,145,46,58,11,153,114
Washta,86.2,17.4,8.5,22500,197,188,0,0,6,0,0,3
Waterloo,87.5,22,8.3,29201,68357,52104,10744,270,1346,254,1670,1969
Waterville,93.5,12.9,4.6,22000,117,114,0,0,0,0,3,0
Watkins,88.6,0,0,51125,115,115,0,0,0,0,0,0
Waucoma,87.6,9.3,8.6,30313,233,220,4,0,0,0,3,6
Waukee,98.2,53.1,1,44655,16955,15517,246,0,452,28,112,600
Waukon,85.1,17.6,5.9,25617,3786,3670,0,0,0,0,20,96
Waverly,95.6,37,3.3,22270,10049,9377,233,32,153,0,94,160
Wayland,88.1,19.2,4.1,31037,1027,985,0,17,14,0,3,8
Webb,87.3,13.6,1.1,31923,186,170,0,0,0,0,16,0
Webster,85.6,4.4,8,23750,128,128,0,0,0,0,0,0
Webster City,90.2,19.7,3.1,30928,7825,7155,46,0,342,0,269,13
Weldon,92,14.6,5.2,29028,181,180,0,0,0,0,0,1
Wellman,92.4,17.2,1.1,33606,1365,1285,20,0,8,0,5,47
Wellsburg,92.8,20.2,4.8,31875,929,903,0,0,3,0,0,23
Welton,94.6,6.3,1.2,30000,151,148,0,0,0,0,0,3
Wesley,88.9,11.6,2.2,33750,333,321,4,0,1,0,0,7
West Amana,100,62,0,19183,212,212,0,0,0,0,0,0
West Bend,93.1,16,1.1,29306,851,813,3,0,1,0,12,22
West Branch,96.2,31.6,3.6,35830,2581,2471,0,0,11,0,44,55
West Burlington,90.9,13.5,4.5,20331,2978,2733,83,0,37,0,0,125
West Chester,82.2,6.8,15.6,21000,91,84,3,3,0,0,0,1
West Des Moines,96.2,54.9,2.7,42796,61624,53262,2301,73,4061,51,693,1183
Westfield,79.8,12.5,4.9,30000,159,143,0,0,0,0,14,2
Westgate,96.6,8.8,2.6,31875,187,187,0,0,0,0,0,0
West Liberty,75.3,13.8,6.4,30628,3737,3074,0,0,114,12,345,192
West Okoboji,95.5,38.4,2.2,32917,314,312,2,0,0,0,0,0
Weston,70.5,18.8,0,31607,139,139,0,0,0,0,0,0
Westphalia,92.9,7.1,23.2,32125,130,130,0,0,0,0,0,0
West Point,95.5,15.1,7.5,31483,1020,997,0,0,0,0,0,23
Westside,93.9,17.4,3.4,32375,329,327,0,0,0,0,0,2
West Union,92.5,26,6.2,26134,2592,2413,116,20,37,0,0,6
Westwood,100,58.2,0,46250,96,94,0,2,0,0,0,0
What Cheer,83.3,5.2,7.4,21875,729,725,0,0,0,0,4,0
Wheatland,89.1,10.2,6.7,30833,712,688,0,0,4,0,0,20
Whiting,92.9,24.1,3.3,27578,943,936,4,0,0,0,0,3
Whittemore,97.7,12.3,2,31333,504,485,12,5,0,0,2,0
Whitten,83.2,0,6.2,21875,173,173,0,0,0,0,0,0
Willey,94.2,15.9,3.9,31250,130,130,0,0,0,0,0,0
Williams,95.2,15.4,3.7,31579,468,395,5,0,3,0,11,54
Williamsburg,91.1,21.3,0,31189,3144,3095,0,0,0,0,0,49
Williamson,93.8,2.5,2.6,37188,113,113,0,0,0,0,0,0
Wilton,94.9,25.5,3.7,35409,2808,2771,7,0,0,0,4,26
Windsor Heights,94.5,47,6.4,37525,4980,4319,26,0,189,0,249,197
Winfield,90.5,20.2,3.6,28259,1068,1040,0,0,8,0,5,15
Winterset,91.5,16.3,7.6,31022,5158,4979,1,0,146,0,26,6
Winthrop,95.6,17.7,3.4,35700,915,861,0,0,15,0,0,39
Wiota,88.5,6.4,3.4,28750,86,83,0,0,0,0,0,3
Woden,84.7,10.8,4,25000,281,217,19,4,0,0,5,36
Woodbine,90.4,21.4,5.1,30114,1645,1598,0,15,0,0,8,24
Woodburn,91,12.4,4.5,29531,230,224,0,0,6,0,0,0
Woodward,77.9,9.2,4,33347,1621,1524,43,0,0,0,7,47
Woolstock,92.9,6.3,0,31000,163,161,0,2,0,0,0,0
Worthington,86.1,17.2,2.4,32083,420,418,0,0,0,0,0,2
Wyoming,88.3,12.1,6.2,30388,403,390,0,0,0,0,0,13
Yale,89.8,14,7,32778,287,284,0,0,0,0,0,3
Yetter,81.3,0,10,6875,22,22,0,0,0,0,0,0
Yorktown,95.3,27.9,24.1,28929,59,59,0,0,0,0,0,0
Zearing,89.6,19.4,5.2,30417,563,551,0,0,5,0,4,3
Zwingle,83.6,7.5,0,38125,104,97,0,0,0,0,0,7
