city,high.school,bachelor,unemployment,income,population,pop.white,pop.black,pop.indian,pop.asian,pop.hawai,pop.other,pop.multi
Carbon,97.3,27,14.3,,37,30,0,4,0,0,0,3
Carlisle,97.3,31.4,3.3,38505,4031,3838,0,0,44,0,0,149
Carpenter,77.6,9.2,13.6,34107,102,85,0,0,17,0,0,0
Carroll,91.9,25.1,1.6,31591,9990,9498,269,0,0,0,70,153
Carson,90.1,22.2,3.4,31014,838,801,0,0,4,0,0,33
Carter Lake,90.2,17.4,8.7,31875,3765,3548,102,26,0,0,14,75
Cascade,91,20.7,2.6,32047,1978,1966,12,0,0,0,0,0
Casey,91.7,10.7,3.7,25938,391,375,0,0,0,0,0,16
Castalia,85.4,16.6,1.9,30000,188,188,0,0,0,0,0,0
Castana,90.2,6.1,3.3,16750,94,94,0,0,0,0,0,0
Cedar Falls,95.6,43.4,4.7,22434,40828,37938,939,120,1192,45,158,436
Cedar Rapids,94,31.8,4.7,32529,129537,112299,8045,329,3447,41,1204,4172
Center Junction,87,5.8,7.7,27083,79,79,0,0,0,0,0,0
Center Point,96.2,22.5,2.4,40313,2507,2433,21,0,4,0,0,49
Centerville,88.5,17.9,7.8,24692,5404,5204,54,3,60,0,0,83
Central City,95.6,12,4.5,32574,1320,1285,26,0,9,0,0,0
Centralia,94.7,10.6,6.5,27115,137,137,0,0,0,0,0,0
Chapin,81.3,13,10.8,30568,259,259,0,0,0,0,0,0
Chariton,90.2,14.5,5.6,27863,4219,4115,7,0,0,0,0,97
Charles City,85.3,21,3.3,23003,7496,6760,247,65,245,0,37,142
Charlotte,95.7,15.8,4.6,30100,404,384,2,0,3,0,0,15
Charter Oak,86.4,11.1,2.4,29297,596,592,0,0,1,0,0,3
Chatsworth,83.9,4.8,0,31786,82,81,0,1,0,0,0,0
Chelsea,65.6,9.9,15,34531,242,182,0,8,0,0,46,6
Cherokee,86.6,17.6,3.6,26007,5113,4944,64,36,29,0,15,25
Chester,91.8,6.3,13.8,23333,263,243,10,0,10,0,0,0
Chillicothe,85.5,20.3,6.4,18750,97,95,2,0,0,0,0,0
Churdan,93.4,15.4,5.2,30227,410,386,0,7,2,0,0,15
Cincinnati,85,11.1,11.7,26667,314,299,0,2,0,0,0,13
Clare,94.8,9.7,4.3,27813,221,221,0,0,0,0,0,0
Clarence,88.2,14.1,2.8,31648,976,972,4,0,0,0,0,0
Clarinda,88.8,23.5,5.2,25348,5431,4978,306,19,29,0,34,65
Clarion,86.1,18.6,8.3,26998,2783,2267,24,0,49,0,387,56
Clarksville,86.7,10.5,5.8,30443,1276,1253,10,0,0,0,0,13
Clayton,76.9,23.1,0,58750,39,39,0,0,0,0,0,0
Clearfield,79.6,8.8,4.7,21750,371,363,0,0,0,0,5,3
Clear Lake,94,25.1,2.2,30478,7644,7366,58,25,123,0,47,25
Cleghorn,95,14.9,0,29375,216,214,0,0,0,0,0,2
Clemons,89.5,10.5,13,32143,111,111,0,0,0,0,0,0
Clermont,94.1,18.5,7,30815,556,556,0,0,0,0,0,0
Climbing Hill,83.7,0,3.8,36458,168,168,0,0,0,0,0,0
Clinton,89.9,19.6,5.6,27086,26148,23792,1251,80,168,0,147,710
Clio,94.8,22.4,7.3,41000,86,85,0,0,0,0,0,1
Clive,95,54.9,3.3,46338,17022,15307,357,59,792,0,235,272
Clutier,79.4,7.8,9.7,26691,196,171,0,0,0,0,1,24
Coalville,96.8,7.2,1.3,33155,609,564,0,0,0,0,0,45
Coburg,80,6.7,0,25694,58,58,0,0,0,0,0,0
Coggon,88.5,14.9,5.1,33068,774,774,0,0,0,0,0,0
Coin,81.5,13,0,35938,220,220,0,0,0,0,0,0
Colesburg,86.4,11.9,5.4,31394,462,456,0,0,0,0,0,6
Colfax,94.5,20.6,10.9,31064,1925,1802,7,0,8,21,5,82
College Springs,91.2,20.8,3.4,11328,197,193,0,0,0,0,0,4
Collins,92.4,11.8,1.4,37188,458,448,3,0,0,0,0,7
Colo,93.3,17.2,5,30964,886,875,0,0,0,0,2,9
Columbus City,64.2,8.8,1.6,30221,447,405,0,0,19,0,19,4
Columbus Junction,69.9,10.8,4.1,26844,2214,1626,84,0,337,0,148,19
