county,category,sale.dollars,sale.volume
Appanoose,Schnapps,45465,3757
Appanoose,Tequila,36133,2679
Appanoose,Distilled Spirits,3942,186
Appanoose,Gin,13018,1124
Hardin,Misc,97965,5777
Hardin,Whisky,536201,36671
Hardin,Rum,192917,13619
Hardin,Brandy,22558,1657
Hardin,Vodka,265031,27389
Hardin,Schnapps,52218,3899
Hardin,Tequila,54986,3693
Hardin,Distilled Spirits,8732,730
Hardin,Gin,28837,2382
Hardin,Amaretto,6227,675
Wapello,Misc,213075,12056
Wapello,Whisky,908443,55017
Wapello,Tequila,158762,9115
Wapello,Rum,353065,24246
Wapello,Brandy,68125,3971
Wapello,Vodka,475947,45393
Wapello,Schnapps,157598,11677
Wapello,Distilled Spirits,21825,1952
Wapello,Gin,48920,3910
Wapello,Amaretto,8506,807
Marshall,Vodka,602284,56237
Marshall,Misc,256019,15562
Marshall,Amaretto,9629,994
Marshall,Whisky,1088565,67636
Marshall,Brandy,138997,6902
Marshall,Rum,353266,25722
Marshall,Schnapps,110742,8819
Marshall,Tequila,194806,9185
Marshall,Distilled Spirits,21266,1977
Marshall,Gin,75245,6072
Clarke,Misc,44744,2710
Clarke,Whisky,242221,15896
Clarke,Brandy,11978,839
Clarke,Rum,81336,5767
Clarke,Vodka,111193,10985
Clarke,Tequila,35429,2364
Clarke,Distilled Spirits,4041,188
Clarke,Gin,11361,1032
Clarke,Amaretto,2515,232
Clarke,Schnapps,21248,1827
Lucas,Vodka,75040,6887
Lucas,Misc,36050,2168
Lucas,Whisky,160687,10395
Lucas,Brandy,7262,583
Lucas,Rum,48343,3524
Lucas,Tequila,13575,898
Lucas,Distilled Spirits,3021,136
Lucas,Gin,6138,521
Lucas,Amaretto,1303,99
Lucas,Schnapps,18500,1473
Union,Misc,83783,4797
Union,Whisky,418168,27005
Union,Rum,119065,8590
Union,Brandy,16961,1459
Union,Tequila,40951,2823
Union,Gin,20810,1899
Union,Vodka,165844,17279
Union,Distilled Spirits,5221,241
Union,Amaretto,7771,826
Union,Schnapps,40514,3355
Scott,Misc,1787323,100069
Scott,Whisky,5934418,322709
Scott,Gin,673412,48838
Scott,Vodka,4988165,409536
Scott,Rum,2260380,162336
Scott,Brandy,1030088,46655
Scott,Tequila,1549269,85234
Scott,Schnapps,913441,63073
Scott,Amaretto,80034,7766
Scott,Distilled Spirits,86921,6882
Emmet,Misc,49332,2989
Emmet,Whisky,230789,17030
Emmet,Brandy,11895,862
Emmet,Rum,121294,8930
Emmet,Vodka,126833,14070
Emmet,Tequila,28145,1495
Emmet,Distilled Spirits,3965,178
Emmet,Gin,8226,816
Emmet,Amaretto,2224,255
Emmet,Schnapps,26548,2053
Henry,Misc,99507,5203
Henry,Tequila,47377,3100
Henry,Whisky,391370,24298
Henry,Vodka,232506,21220
Henry,Brandy,39222,2340
Henry,Schnapps,52435,3928
Henry,Rum,132003,9054
Henry,Distilled Spirits,8180,354
Henry,Gin,24161,2116
Henry,Amaretto,2498,293
Monroe,Misc,27582,1661
Monroe,Rum,43068,2887
Monroe,Whisky,131199,8999
Monroe,Gin,4323,372
Monroe,Vodka,54127,5225
Monroe,Brandy,6230,456
Monroe,Tequila,11245,736
Monroe,Amaretto,1542,176
Monroe,Schnapps,14613,1092
Monroe,Distilled Spirits,1882,92
Clay,Misc,124741,7817
Clay,Tequila,57827,3823
Clay,Vodka,306858,31782
Clay,Whisky,603838,45611
Clay,Brandy,35834,2909
Clay,Rum,214640,16640
Clay,Amaretto,6765,719
Clay,Schnapps,52938,3971
Clay,Distilled Spirits,16864,1687
Clay,Gin,36657,2963
Marion,Misc,171639,10146
Marion,Whisky,703511,43319
Marion,Brandy,35541,2502
Marion,Rum,300248,21691
Marion,Vodka,399686,36324
Marion,Schnapps,80811,5933
Marion,Tequila,109850,7233
Marion,Distilled Spirits,18040,1103
Marion,Gin,40409,3339
Marion,Amaretto,9864,1063
Muscatine,Misc,286559,17109
Muscatine,Whisky,982208,59121
Muscatine,Brandy,73492,4772
Muscatine,Rum,455558,32482
Muscatine,Vodka,647330,61848
Muscatine,Schnapps,142243,10822
Muscatine,Tequila,185165,10835
Muscatine,Distilled Spirits,16352,792
Muscatine,Gin,67137,5514
Muscatine,Amaretto,11605,1196
Floyd,Misc,96878,5530
Floyd,Vodka,213086,21397
Floyd,Tequila,52311,3243
Floyd,Whisky,403486,28639
Floyd,Brandy,58143,3072
Floyd,Rum,159656,11126
Floyd,Amaretto,5709,687
Floyd,Distilled Spirits,4856,218
Floyd,Gin,18606,1605
Floyd,Schnapps,78121,6109
Poweshiek,Misc,106197,5916
Poweshiek,Whisky,547662,34216
Poweshiek,Gin,34843,2742
Poweshiek,Vodka,269660,25468
Poweshiek,Rum,182193,12971
Poweshiek,Brandy,32554,2520
Poweshiek,Tequila,64016,4019
Poweshiek,Amaretto,5463,551
Poweshiek,Schnapps,63570,4699
Poweshiek,Distilled Spirits,5441,279
Washington,Rum,202795,14238
Washington,Whisky,597736,36989
Washington,Gin,35693,2543
Washington,Vodka,278362,23263
Washington,Misc,132244,6995
Washington,Brandy,32468,2012
Washington,Tequila,67540,3620
Washington,Amaretto,5042,514
Washington,Schnapps,68343,5320
Washington,Distilled Spirits,7768,701
Kossuth,Misc,138565,7885
Kossuth,Whisky,660384,47978
Kossuth,Vodka,258291,23897
Kossuth,Brandy,33421,2782
Kossuth,Rum,262215,18554
Kossuth,Tequila,60968,3940
Kossuth,Distilled Spirits,9157,698
Kossuth,Gin,22472,1766
Kossuth,Amaretto,6632,761
Kossuth,Schnapps,86413,6490
Cass,Tequila,56317,3838
Cass,Misc,107457,5889
Cass,Whisky,493445,33527
Cass,Rum,145327,10701
Cass,Vodka,201690,20094
Cass,Distilled Spirits,7075,332
Cass,Gin,22606,2026
Cass,Brandy,16734,1384
Cass,Amaretto,2959,298
Cass,Schnapps,39139,3132
Carroll,Misc,163327,9255
Carroll,Whisky,951051,67419
Carroll,Brandy,29430,2192
Carroll,Rum,472691,33192
Carroll,Vodka,379040,33719
Carroll,Tequila,78219,4717
Carroll,Distilled Spirits,28018,3323
Carroll,Gin,30384,2434
Carroll,Amaretto,10059,1261
Carroll,Schnapps,84580,6250
Woodbury,Misc,870036,48810
Woodbury,Amaretto,37065,3158
Woodbury,Whisky,3186676,195163
Woodbury,Rum,1295409,90890
Woodbury,Tequila,721903,39378
Woodbury,Vodka,1864576,156863
Woodbury,Distilled Spirits,40457,3296
Woodbury,Gin,208565,15069
Woodbury,Brandy,396379,20792
Woodbury,Schnapps,526066,34206
Crawford,Misc,92697,5367
Crawford,Tequila,76357,3865
Crawford,Whisky,511187,36844
Crawford,Brandy,30894,1968
Crawford,Vodka,193570,18613
Crawford,Rum,210218,14900
Crawford,Schnapps,70670,5334
Crawford,Distilled Spirits,11072,1272
