"city","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","category","sale.dollars","sale.volume"
"Le Claire",97.9,41.4,6.5,45493,3931,3653,93,7,0,0,23,155,"Tequila",10664,809
"Le Claire",97.9,41.4,6.5,45493,3931,3653,93,7,0,0,23,155,"Amaretto",773,81
"Le Claire",97.9,41.4,6.5,45493,3931,3653,93,7,0,0,23,155,"Gin",29821,1187
"Le Claire",97.9,41.4,6.5,45493,3931,3653,93,7,0,0,23,155,"Distilled Spirits",2683,86
"Le Claire",97.9,41.4,6.5,45493,3931,3653,93,7,0,0,23,155,"Whisky",206315,7729
"Le Claire",97.9,41.4,6.5,45493,3931,3653,93,7,0,0,23,155,"Brandy",3877,269
"Le Claire",97.9,41.4,6.5,45493,3931,3653,93,7,0,0,23,155,"Rum",26613,2006
"Le Grand",95.7,16,2.6,31467,995,926,14,0,6,0,13,36,"Schnapps",3603,407
"Le Grand",95.7,16,2.6,31467,995,926,14,0,6,0,13,36,"Distilled Spirits",606,29
"Le Grand",95.7,16,2.6,31467,995,926,14,0,6,0,13,36,"Vodka",13200,1414
"Le Grand",95.7,16,2.6,31467,995,926,14,0,6,0,13,36,"Tequila",2052,95
"Le Grand",95.7,16,2.6,31467,995,926,14,0,6,0,13,36,"Amaretto",243,30
"Le Grand",95.7,16,2.6,31467,995,926,14,0,6,0,13,36,"Rum",7548,551
"Le Grand",95.7,16,2.6,31467,995,926,14,0,6,0,13,36,"Whisky",27284,1929
"Le Grand",95.7,16,2.6,31467,995,926,14,0,6,0,13,36,"Brandy",1516,94
"Le Grand",95.7,16,2.6,31467,995,926,14,0,6,0,13,36,"Gin",612,47
"Le Grand",95.7,16,2.6,31467,995,926,14,0,6,0,13,36,"Misc",4640,286
"Le Mars",90.6,18.7,3.8,36924,9826,9066,87,44,69,42,320,198,"Vodka",226007,19487
"Le Mars",90.6,18.7,3.8,36924,9826,9066,87,44,69,42,320,198,"Gin",24907,1891
"Le Mars",90.6,18.7,3.8,36924,9826,9066,87,44,69,42,320,198,"Amaretto",4279,411
"Le Mars",90.6,18.7,3.8,36924,9826,9066,87,44,69,42,320,198,"Rum",218329,15011
"Le Mars",90.6,18.7,3.8,36924,9826,9066,87,44,69,42,320,198,"Schnapps",74943,5811
"Le Mars",90.6,18.7,3.8,36924,9826,9066,87,44,69,42,320,198,"Whisky",519089,35579
"Le Mars",90.6,18.7,3.8,36924,9826,9066,87,44,69,42,320,198,"Tequila",74429,5181
"Le Mars",90.6,18.7,3.8,36924,9826,9066,87,44,69,42,320,198,"Brandy",30911,2628
"Le Mars",90.6,18.7,3.8,36924,9826,9066,87,44,69,42,320,198,"Distilled Spirits",5500,286
"Le Mars",90.6,18.7,3.8,36924,9826,9066,87,44,69,42,320,198,"Misc",119371,6620
"Le Roy",100,0,NA,NA,6,4,0,0,0,0,0,2,NA,NA,NA
"Leando",100,0,0,NA,40,40,0,0,0,0,0,0,NA,NA,NA
"Ledyard",88.6,7.6,2.5,23750,100,93,0,0,0,0,0,7,NA,NA,NA
"Lehigh",90.8,6.4,13.6,27232,406,397,0,0,0,0,0,9,NA,NA,NA
"Leighton",94.2,18.2,1.9,23125,193,178,0,0,0,0,0,15,NA,NA,NA
"Leland",92.4,11.8,2.1,28625,247,226,12,0,9,0,0,0,NA,NA,NA
"Lenox",83.1,9.3,4.8,24837,1424,1275,0,11,18,0,120,0,"Vodka",9581,1264
"Lenox",83.1,9.3,4.8,24837,1424,1275,0,11,18,0,120,0,"Misc",3398,220
"Lenox",83.1,9.3,4.8,24837,1424,1275,0,11,18,0,120,0,"Tequila",4353,240
"Lenox",83.1,9.3,4.8,24837,1424,1275,0,11,18,0,120,0,"Distilled Spirits",7,1
"Lenox",83.1,9.3,4.8,24837,1424,1275,0,11,18,0,120,0,"Whisky",19996,1258
"Lenox",83.1,9.3,4.8,24837,1424,1275,0,11,18,0,120,0,"Amaretto",509,33
"Lenox",83.1,9.3,4.8,24837,1424,1275,0,11,18,0,120,0,"Brandy",1185,107
"Lenox",83.1,9.3,4.8,24837,1424,1275,0,11,18,0,120,0,"Gin",631,56
"Lenox",83.1,9.3,4.8,24837,1424,1275,0,11,18,0,120,0,"Rum",3740,249
"Lenox",83.1,9.3,4.8,24837,1424,1275,0,11,18,0,120,0,"Schnapps",1855,166
"Leon",85.1,13.9,7,22734,1995,1962,1,0,18,0,0,14,"Tequila",3033,218
"Leon",85.1,13.9,7,22734,1995,1962,1,0,18,0,0,14,"Gin",951,84
"Leon",85.1,13.9,7,22734,1995,1962,1,0,18,0,0,14,"Schnapps",8317,614
"Leon",85.1,13.9,7,22734,1995,1962,1,0,18,0,0,14,"Amaretto",646,50
"Leon",85.1,13.9,7,22734,1995,1962,1,0,18,0,0,14,"Vodka",15536,1744
"Leon",85.1,13.9,7,22734,1995,1962,1,0,18,0,0,14,"Brandy",1308,118
"Leon",85.1,13.9,7,22734,1995,1962,1,0,18,0,0,14,"Misc",6647,331
"Leon",85.1,13.9,7,22734,1995,1962,1,0,18,0,0,14,"Rum",9223,694
"Leon",85.1,13.9,7,22734,1995,1962,1,0,18,0,0,14,"Whisky",48149,2909
"Leon",85.1,13.9,7,22734,1995,1962,1,0,18,0,0,14,"Distilled Spirits",378,16
"Lester",94,13.1,0,37625,269,259,2,0,0,0,0,8,NA,NA,NA
"Letts",87.7,9.1,3.1,30694,410,410,0,0,0,0,0,0,NA,NA,NA
"Lewis",82.8,5.6,7.7,30000,553,525,0,4,0,0,0,24,NA,NA,NA
"Libertyville",94.1,10.6,3.7,32083,371,371,0,0,0,0,0,0,NA,NA,NA
"Lidderdale",96.1,5.9,8.1,33500,120,116,0,0,0,0,0,4,NA,NA,NA
"Lime Springs",91.4,10.4,3.8,27065,486,464,0,0,11,0,11,0,NA,NA,NA
"Lincoln",94,7.1,9.5,11042,121,121,0,0,0,0,0,0,NA,NA,NA
"Linden",83.4,10.6,11.2,27917,186,178,0,2,0,0,6,0,NA,NA,NA
"Lineville",84.4,9,5.6,27500,209,196,0,0,0,0,0,13,NA,NA,NA
"Linn Grove",95.7,21.6,0,27917,140,140,0,0,0,0,0,0,NA,NA,NA
"Lisbon",93.8,26.2,4.1,36716,1908,1827,31,18,0,0,13,19,"Distilled Spirits",538,25
"Lisbon",93.8,26.2,4.1,36716,1908,1827,31,18,0,0,13,19,"Misc",6161,513
