"zipcode","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","category","sale.dollars","sale.volume"
50035,94.3,35.2,1.3,43527,6562,6422,0,0,82,0,0,58,"Distilled Spirits",367,17
50035,94.3,35.2,1.3,43527,6562,6422,0,0,82,0,0,58,"Amaretto",135,18
50035,94.3,35.2,1.3,43527,6562,6422,0,0,82,0,0,58,"Schnapps",1964,161
50035,94.3,35.2,1.3,43527,6562,6422,0,0,82,0,0,58,"Whisky",36289,2367
50036,96,22.5,4.1,31151,16251,15840,272,53,31,0,8,47,"Vodka",256142,25128
50036,96,22.5,4.1,31151,16251,15840,272,53,31,0,8,47,"Brandy",26379,2034
50036,96,22.5,4.1,31151,16251,15840,272,53,31,0,8,47,"Misc",101395,5963
50036,96,22.5,4.1,31151,16251,15840,272,53,31,0,8,47,"Gin",28123,2326
50036,96,22.5,4.1,31151,16251,15840,272,53,31,0,8,47,"Rum",172642,12360
50036,96,22.5,4.1,31151,16251,15840,272,53,31,0,8,47,"Whisky",518468,35650
50036,96,22.5,4.1,31151,16251,15840,272,53,31,0,8,47,"Amaretto",5104,430
50036,96,22.5,4.1,31151,16251,15840,272,53,31,0,8,47,"Schnapps",55927,4121
50036,96,22.5,4.1,31151,16251,15840,272,53,31,0,8,47,"Tequila",44677,2952
50036,96,22.5,4.1,31151,16251,15840,272,53,31,0,8,47,"Distilled Spirits",7551,484
50038,100,0,66.7,34250,72,72,0,0,0,0,0,0,NA,NA,NA
50039,98,10.6,4.8,26250,319,313,0,0,0,0,0,6,NA,NA,NA
50041,83,0,0,23750,53,53,0,0,0,0,0,0,NA,NA,NA
50042,93.3,11.3,0,28125,267,267,0,0,0,0,0,0,NA,NA,NA
50044,89.9,8.1,5.3,25139,1088,1087,0,1,0,0,0,0,"Whisky",4838,365
50044,89.9,8.1,5.3,25139,1088,1087,0,1,0,0,0,0,"Gin",14,2
50044,89.9,8.1,5.3,25139,1088,1087,0,1,0,0,0,0,"Misc",232,10
50044,89.9,8.1,5.3,25139,1088,1087,0,1,0,0,0,0,"Schnapps",1466,159
50044,89.9,8.1,5.3,25139,1088,1087,0,1,0,0,0,0,"Brandy",250,20
50044,89.9,8.1,5.3,25139,1088,1087,0,1,0,0,0,0,"Vodka",5986,798
50044,89.9,8.1,5.3,25139,1088,1087,0,1,0,0,0,0,"Rum",1666,171
50044,89.9,8.1,5.3,25139,1088,1087,0,1,0,0,0,0,"Tequila",304,17
50046,96.2,36.3,2.6,41118,1401,1381,6,2,2,0,0,10,"Tequila",935,75
50046,96.2,36.3,2.6,41118,1401,1381,6,2,2,0,0,10,"Distilled Spirits",305,21
50046,96.2,36.3,2.6,41118,1401,1381,6,2,2,0,0,10,"Amaretto",10,2
50046,96.2,36.3,2.6,41118,1401,1381,6,2,2,0,0,10,"Schnapps",2220,100
50046,96.2,36.3,2.6,41118,1401,1381,6,2,2,0,0,10,"Brandy",464,30
50046,96.2,36.3,2.6,41118,1401,1381,6,2,2,0,0,10,"Gin",625,66
50046,96.2,36.3,2.6,41118,1401,1381,6,2,2,0,0,10,"Whisky",10213,731
50046,96.2,36.3,2.6,41118,1401,1381,6,2,2,0,0,10,"Vodka",5308,543
50046,96.2,36.3,2.6,41118,1401,1381,6,2,2,0,0,10,"Rum",4193,340
50046,96.2,36.3,2.6,41118,1401,1381,6,2,2,0,0,10,"Misc",960,78
50047,97.2,29.7,2.8,38850,5931,5714,0,24,44,0,0,149,"Amaretto",187,29
50047,97.2,29.7,2.8,38850,5931,5714,0,24,44,0,0,149,"Distilled Spirits",38,1
50047,97.2,29.7,2.8,38850,5931,5714,0,24,44,0,0,149,"Vodka",22028,2085
50047,97.2,29.7,2.8,38850,5931,5714,0,24,44,0,0,149,"Brandy",675,62
50047,97.2,29.7,2.8,38850,5931,5714,0,24,44,0,0,149,"Gin",2201,197
50047,97.2,29.7,2.8,38850,5931,5714,0,24,44,0,0,149,"Misc",4986,446
50047,97.2,29.7,2.8,38850,5931,5714,0,24,44,0,0,149,"Tequila",4864,369
50047,97.2,29.7,2.8,38850,5931,5714,0,24,44,0,0,149,"Rum",13526,891
50047,97.2,29.7,2.8,38850,5931,5714,0,24,44,0,0,149,"Whisky",34215,2173
50047,97.2,29.7,2.8,38850,5931,5714,0,24,44,0,0,149,"Schnapps",1806,143
50048,92.9,11.6,2.7,30705,784,764,0,0,0,0,0,20,"Brandy",352,19
50048,92.9,11.6,2.7,30705,784,764,0,0,0,0,0,20,"Whisky",10684,660
50048,92.9,11.6,2.7,30705,784,764,0,0,0,0,0,20,"Tequila",492,17
50048,92.9,11.6,2.7,30705,784,764,0,0,0,0,0,20,"Schnapps",889,61
50048,92.9,11.6,2.7,30705,784,764,0,0,0,0,0,20,"Vodka",6420,555
50048,92.9,11.6,2.7,30705,784,764,0,0,0,0,0,20,"Misc",1132,46
50048,92.9,11.6,2.7,30705,784,764,0,0,0,0,0,20,"Rum",5208,302
50048,92.9,11.6,2.7,30705,784,764,0,0,0,0,0,20,"Gin",269,18
50049,91.9,17.5,5.1,28672,6604,6484,7,0,0,0,0,113,"Tequila",13575,898
50049,91.9,17.5,5.1,28672,6604,6484,7,0,0,0,0,113,"Gin",6138,521
50049,91.9,17.5,5.1,28672,6604,6484,7,0,0,0,0,113,"Misc",36050,2168
50049,91.9,17.5,5.1,28672,6604,6484,7,0,0,0,0,113,"Distilled Spirits",3021,136
50049,91.9,17.5,5.1,28672,6604,6484,7,0,0,0,0,113,"Schnapps",18500,1473
50049,91.9,17.5,5.1,28672,6604,6484,7,0,0,0,0,113,"Amaretto",1303,99
50049,91.9,17.5,5.1,28672,6604,6484,7,0,0,0,0,113,"Vodka",75040,6887
50049,91.9,17.5,5.1,28672,6604,6484,7,0,0,0,0,113,"Whisky",160687,10395
50049,91.9,17.5,5.1,28672,6604,6484,7,0,0,0,0,113,"Brandy",7262,583
50049,91.9,17.5,5.1,28672,6604,6484,7,0,0,0,0,113,"Rum",48343,3524
50050,93.8,16.9,3,33125,706,682,0,7,2,0,0,15,NA,NA,NA
50051,91.1,2.9,23.7,26570,361,361,0,0,0,0,0,0,NA,NA,NA
50052,91.4,21.6,3.3,34250,166,165,0,0,0,0,0,1,NA,NA,NA
50054,95,18.9,9.6,33107,2908,2766,7,0,9,21,23,82,"Distilled Spirits",208,9
50054,95,18.9,9.6,33107,2908,2766,7,0,9,21,23,82,"Rum",18770,1341
50054,95,18.9,9.6,33107,2908,2766,7,0,9,21,23,82,"Vodka",31752,3502
50054,95,18.9,9.6,33107,2908,2766,7,0,9,21,23,82,"Amaretto",127,19
50054,95,18.9,9.6,33107,2908,2766,7,0,9,21,23,82,"Brandy",3086,240
50054,95,18.9,9.6,33107,2908,2766,7,0,9,21,23,82,"Schnapps",2403,205
