"county","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","category","sale.dollars","sale.volume"
"Bremer",95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215,"Brandy",40976,3437
"Bremer",95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215,"Vodka",357142,34371
"Bremer",95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215,"Amaretto",6463,663
"Bremer",95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215,"Distilled Spirits",7044,447
"Bremer",95.3,27.9,3.2,31932,24663,23758,265,60,216,39,110,215,"Gin",37452,2914
"Buchanan",92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177,"Vodka",196392,19334
"Buchanan",92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177,"Gin",15637,1335
"Buchanan",92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177,"Rum",154716,11193
"Buchanan",92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177,"Tequila",71130,5749
"Buchanan",92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177,"Misc",84207,5055
"Buchanan",92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177,"Whisky",392947,27337
"Buchanan",92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177,"Brandy",18459,1594
"Buchanan",92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177,"Schnapps",63574,4549
"Buchanan",92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177,"Distilled Spirits",5107,313
"Buchanan",92.3,18,3.8,32409,21031,20519,72,76,104,0,83,177,"Amaretto",4031,395
"Buena Vista",78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,"Amaretto",5830,686
"Buena Vista",78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,"Whisky",644457,44758
"Buena Vista",78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,"Schnapps",60064,4643
"Buena Vista",78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,"Gin",44777,3887
"Buena Vista",78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,"Distilled Spirits",5261,243
"Buena Vista",78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,"Tequila",121906,6446
"Buena Vista",78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,"Misc",130400,7939
"Buena Vista",78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,"Rum",245103,18131
"Buena Vista",78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,"Brandy",124708,5731
"Buena Vista",78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,"Vodka",307204,29151
"Butler",91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91,"Brandy",8452,772
"Butler",91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91,"Tequila",6110,434
"Butler",91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91,"Schnapps",15711,1313
"Butler",91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91,"Gin",3005,286
"Butler",91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91,"Amaretto",381,60
"Butler",91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91,"Misc",13189,752
"Butler",91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91,"Rum",44311,3127
"Butler",91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91,"Whisky",108734,9017
"Butler",91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91,"Distilled Spirits",1343,86
"Butler",91.9,15.7,3.2,31209,14933,14648,45,43,84,11,11,91,"Vodka",59237,6862
"Calhoun",92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142,"Misc",21560,1352
"Calhoun",92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142,"Brandy",6569,586
"Calhoun",92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142,"Vodka",66698,7406
"Calhoun",92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142,"Schnapps",13672,1119
"Calhoun",92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142,"Rum",63282,4524
"Calhoun",92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142,"Gin",5530,537
"Calhoun",92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142,"Tequila",12594,704
"Calhoun",92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142,"Distilled Spirits",655,50
"Calhoun",92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142,"Whisky",141632,11525
"Calhoun",92.2,18.4,2.7,26420,9876,9500,164,31,26,0,13,142,"Amaretto",1837,268
"Carroll",92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194,"Schnapps",84580,6250
"Carroll",92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194,"Distilled Spirits",28018,3323
"Carroll",92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194,"Gin",30384,2434
"Carroll",92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194,"Whisky",951051,67419
"Carroll",92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194,"Rum",472691,33192
"Carroll",92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194,"Vodka",379040,33719
"Carroll",92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194,"Misc",163327,9255
"Carroll",92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194,"Tequila",78219,4717
"Carroll",92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194,"Amaretto",10059,1261
"Carroll",92.9,21.4,2.6,31332,20555,19969,292,14,16,0,70,194,"Brandy",29430,2192
"Cass",90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119,"Schnapps",39139,3132
"Cass",90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119,"Vodka",201690,20094
"Cass",90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119,"Brandy",16734,1384
"Cass",90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119,"Rum",145327,10701
"Cass",90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119,"Whisky",493445,33527
"Cass",90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119,"Misc",107457,5889
"Cass",90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119,"Gin",22606,2026
"Cass",90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119,"Amaretto",2959,298
"Cass",90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119,"Tequila",56317,3838
"Cass",90.3,19.8,3.3,27884,13433,13117,35,50,71,23,18,119,"Distilled Spirits",7075,332
"Cedar",93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196,"Rum",66596,4828
"Cedar",93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196,"Misc",33772,2419
"Cedar",93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196,"Schnapps",26425,2010
"Cedar",93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196,"Whisky",209160,15568
"Cedar",93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196,"Tequila",15392,1011
"Cedar",93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196,"Vodka",103532,10527
"Cedar",93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196,"Amaretto",1739,192
"Cedar",93.4,22,3.3,34919,18389,17852,108,27,149,0,57,196,"Distilled Spirits",2242,142
